UniProt,Position,Target
Q8N697,113,P
Q8N697,477,P
O00214,141,P
P61160,22,P
P61160,72,P
P61160,91,P
P61160,202,P
P61160,378,P
Q6JEL2,96,P
Q6JEL2,98,P
P02652,37,P
P32745,142,P
P32745,303,P
Q86Z02,352,P
Q86Z02,357,P
Q86Z02,358,P
Q86Z02,414,P
Q86Z02,491,P
Q86Z02,1197,P
A6NNT2,685,P
Q6GMV2,160,P
Q96HA9,14,P
Q96HA9,74,P
Q6PJT7,147,P
Q6PJT7,215,P
Q6PJT7,255,P
Q6PJT7,273,P
Q6PJT7,321,P
Q6PJT7,372,P
Q6PJT7,453,P
Q6PJT7,454,P
Q6PJT7,531,P
Q6PJT7,615,P
Q9UMX2,54,P
Q9UMX2,197,P
P16930,128,P
P16930,244,P
P16930,395,P
O95997,6,P
O95997,111,P
Q99437,70,P
Q9UI26,784,P
Q86XE5,154,P
Q9HCJ5,752,P
Q9HCJ5,772,P
Q9HCJ5,786,P
Q9HCJ5,1149,P
D6RIA3,194,P
D6RIA3,544,P
Q00796,25,P
Q00796,51,P
Q00796,54,P
Q00796,300,P
Q9BTV4,233,P
Q7Z6G8,901,P
Q7Z6G8,1007,P
P29122,637,P
Q8N3V7,466,P
Q8N3V7,565,P
Q8N3V7,584,P
Q8N3V7,738,P
Q8N3V7,789,P
Q8N3V7,792,P
Q8N3V7,809,P
Q8N3V7,868,P
Q8N3V7,885,P
Q96GX9,57,P
Q96GX9,105,P
Q15849,559,P
Q15849,664,P
Q6UXP7,256,P
Q9H2D1,152,P
Q9H2D1,163,P
Q9H2D1,176,P
Q9H2D1,203,P
Q9H6X4,57,P
Q8IVE3,709,P
Q8IVE3,839,P
Q8IVE3,840,P
Q8IVE3,1300,P
Q7Z6K3,42,P
P01286,41,P
Q9Y6A4,86,P
Q9Y6A4,184,P
O00267,86,P
O00267,140,P
O00267,141,P
O00267,155,P
O00267,230,P
O00267,295,P
O00267,564,P
O00267,717,P
O00267,720,P
O00267,765,P
O00267,771,P
O00267,778,P
O00267,787,P
O00267,802,P
Q13478,296,P
O43379,9,P
O43379,156,P
O43379,666,P
O43379,975,P
O43379,1142,P
P56178,66,P
O60883,464,P
Q8IX03,128,P
Q8IX03,781,P
Q8IX03,786,P
Q8IX03,788,P
Q8IX03,938,P
Q06609,54,P
Q06609,301,P
Q06609,315,P
Q8IYA6,37,P
Q8IYA6,113,P
Q8IYA6,204,P
Q8IYA6,310,P
Q8IYA6,321,P
Q8IYA6,344,P
Q8IYA6,479,P
Q8IYA6,659,P
Q6JVE9,132,P
Q9HD43,1069,P
Q9HD43,1094,P
Q9HD43,1102,P
A4D161,17,P
A4D161,20,P
A4D161,38,P
A4D161,111,P
A4D161,113,P
O14949,17,P
Q15596,747,P
P25929,347,P
Q86YW9,145,P
Q86YW9,149,P
Q86YW9,167,P
Q86YW9,484,P
O14744,280,P
O14744,283,P
O14744,286,P
O14744,297,P
O14744,304,P
O14744,307,P
O14744,337,P
O14744,342,P
Q16288,131,P
Q16288,516,P
Q16288,558,P
Q16288,705,P
Q16288,709,P
Q16288,710,P
O15042,117,P
O15042,158,P
